1	PI144134
2	PI145619
3	PI145626
4	PI145632
5	PI145633
6	PI146890
7	PI147224
8	PI152591
9	PI152651
10	PI152694
11	PI152727
12	PI152728
13	PI152733
14	PI152751
15	PI152771
16	PI152816
17	PI152828
18	PI152860
19	PI152862
20	PI152923
21	PI152961
22	PI152963
23	PI152965
24	PI152966
25	PI152967
26	PI152971
27	PI153877
28	PI154846
29	PI154944
30	PI154987
31	PI154988
32	PI155149
33	PI155516
34	PI155760
35	PI155885
36	PI156018
37	PI156178
38	PI156203
39	PI156217
40	PI156326
41	PI156330
42	PI156393
43	PI156463
44	PI156487
45	PI156871
46	PI156890
47	PI157030
48	PI157033
49	PI157035
50	PI157804
51	PI167093
52	PI170787
53	PI175919
54	PI176766
55	PI179749
56	PI180348
57	PI181080
58	PI181083
59	PI181899
60	PI185573
61	PI196049
62	PI196583
63	PI196586
64	PI196598
65	PI197542
66	PI19770
67	PI213901
68	PI217691
69	PI218112
70	PI221548
71	PI221651
72	PI239439
73	PI250583
74	PI251672
75	PI253986
76	PI255744
77	PI257599
78	PI257600
79	PI266927
80	PI267573
81	PI273969
82	PI276837
83	PI291246
84	PI300118
85	PI300119
86	PI302221
87	PI302252
88	PI303658
89	PI329256
90	PI329286
91	PI329299
92	PI329300
93	PI329301
94	PI329310
95	PI329319
96	PI329326
97	PI329333
98	PI329338
99	PI329351
100	PI329394
101	PI329403
102	PI329435
103	PI329440
104	PI329465
105	PI329466
106	PI329471
107	PI329478
108	PI329480
109	PI329501
110	PI329506
111	PI329510
112	PI329511
113	PI329517
114	PI329518
115	PI329519
116	PI329545
117	PI329546
118	PI329550
119	PI329551
120	PI329554
121	PI329569
122	PI329570
123	PI329573
124	PI329583
125	PI329584
126	PI329585
127	PI329605
128	PI329614
129	PI329615
130	PI329617
131	PI329644
132	PI329645
133	PI329646
134	PI329673
135	PI329699
136	PI329702
137	PI329710
138	PI329711
139	PI329841
140	PI329843
141	PI329864
142	PI329865
143	PI330122
144	PI330167
145	PI330168
146	PI330169
147	PI330181
148	PI330182
149	PI330184
150	PI330185
151	PI330195
152	PI330196
153	PI330199
154	PI330796
155	PI330803
156	PI330833
157	PI330858
158	PI337680
159	PI337689
160	PI365512
161	PI452542
162	PI452544
163	PI452619
164	PI452692
165	PI453106
166	PI453177
167	PI453696
168	PI455217
169	PI455280
170	PI455301
171	PI455307
172	PI474825
173	PI506030
174	PI511355
175	PI513898
176	PI514456
177	PI521019
178	PI521152
179	PI521280
180	PI521281
181	PI521290
182	PI524475
183	PI525049
184	PI52606
185	PI526905
186	PI527045
187	PI533752
188	PI533759
189	PI533792
190	PI533863
191	PI533902
192	PI533964
193	PI533998
194	PI534047
195	PI534120
196	PI534157
197	PI534165
198	PI535783
199	PI535785
200	PI535792
201	PI535793
202	PI535794
203	PI535795
204	PI535796
205	PI540518
206	PI542718
207	PI550604
208	PI552851
209	PI561072
210	PI562717
211	PI562732
212	PI562781
213	PI562897
214	PI562970
215	PI562971
216	PI562981
217	PI562982
218	PI562990
219	PI562991
220	PI562994
221	PI562997
222	PI562998
223	PI563002
224	PI563009
225	PI563020
226	PI563021
227	PI563022
228	PI563032
229	PI563196
230	PI563329
231	PI563332
232	PI563338
233	PI563348
234	PI563350
235	PI563355
236	PI564163
237	PI566819
238	PI568717
239	PI569097
240	PI569148
241	PI569244
242	PI569264
243	PI569416
244	PI569418
245	PI569419
246	PI569420
247	PI569422
248	PI569423
249	PI569425
250	PI569427
251	PI569433
252	PI569435
253	PI569443
254	PI569445
255	PI569446
256	PI569447
257	PI569453
258	PI569454
259	PI569455
260	PI569457
261	PI569458
262	PI569459
263	PI569460
264	PI569465
265	PI569886
266	PI570031
267	PI570038
268	PI570039
269	PI570042
270	PI570053
271	PI570071
272	PI570073
273	PI570074
274	PI570075
275	PI570076
276	PI570085
277	PI570087
278	PI570090
279	PI570091
280	PI570096
281	PI570106
282	PI570110
283	PI570114
284	PI570145
285	PI570371
286	PI570373
287	PI570388
288	PI570393
289	PI570400
290	PI570431
291	PI573193
292	PI576366
293	PI576399
294	PI576401
295	PI583832
296	PI585406
297	PI585448
298	PI585452
299	PI585454
300	PI585461
301	PI585467
302	PI585577
303	PI585608
304	PI585961
305	PI585966
306	PI586435
307	PI586499
308	PI586541
309	PI593916
310	PI595699
311	PI595741
312	PI606706
313	PI619807
314	PI619838
315	PI620072
316	PI620157
317	PI629059
318	PI63715
319	PI641810
320	PI641815
321	PI641817
322	PI641821
323	PI641824
324	PI641829
325	PI641830
326	PI641834
327	PI641835
328	PI641850
329	PI641860
330	PI641862
331	PI641892
332	PI641909
333	PI643008
334	PI643016
335	PI646242
336	PI646251
337	PI646266
338	PI651491
339	PI651493
340	PI651495
341	PI651497
342	PI653411
343	PI653616
344	PI653617
345	PI655978
346	PI655981
347	PI655986
348	PI655988
349	PI655995
350	PI655996
351	PI656015
352	PI656020
353	PI656023
354	PI656026
355	PI656030
356	PI656035
357	PI656044
358	PI656051
359	PI656056
360	PI656065
361	PI673843
362	PI92270
